diffusion,growth,hostFloor,climateFloor,hostPower,climatePower,ap_2019,ap_2020,ap_2021,ap_2022,ap_2023,mean_average_precision,worst_year_average_precision
0.28,0.13,0.0,0.0,0.6,1.6,0.7121635099204742,0.697511216029735,0.5938033777022738,0.5425138341777735,0.5537581600138654,0.6199500195688243,0.5425138341777735
0.28,0.24,0.15,0.15,1.6,1.0,0.739070432854727,0.6825509674825253,0.5972878025920806,0.5307663131580497,0.5499164339344844,0.6199183900043733,0.5307663131580497
0.28,0.24,0.15,0.35,1.0,1.0,0.7283798164112174,0.6850649027577206,0.5970094652776152,0.5371054035371017,0.5519669547907157,0.6199053085548741,0.5371054035371017
0.28,0.24,0.15,0.15,0.6,1.0,0.716697180125031,0.692026621980796,0.5920489111057611,0.5458845607272667,0.5528333751968298,0.6198981298271369,0.5458845607272667
0.28,0.24,0.15,0.0,0.6,0.6,0.7175254298649054,0.6911820002627431,0.5937357529517863,0.5438956562447129,0.5522082880001941,0.6197094254648683,0.5438956562447129
0.28,0.24,0.0,0.0,1.6,1.6,0.7441275104175317,0.676557490059456,0.5951386525714689,0.538033882732428,0.5444077572031312,0.6196530585968031,0.538033882732428
0.28,0.24,0.15,0.35,0.6,1.0,0.7175882665648895,0.6903423596758214,0.5945008969848663,0.5437970538158055,0.5517458224638682,0.6195948799010502,0.5437970538158055
0.28,0.24,0.35,0.15,0.6,1.6,0.7083891721448067,0.69065055891991,0.5890858490856733,0.5585513364434671,0.550839378939793,0.6195032591067301,0.550839378939793
0.28,0.24,0.0,0.15,1.0,0.6,0.7352786237633875,0.6848110327741205,0.5972524587408435,0.5275015347553829,0.5510494729086661,0.61917862458848,0.5275015347553829
0.28,0.13,0.0,0.15,0.6,1.6,0.7118991097586224,0.6970629920025677,0.5935652950950367,0.5388281685066082,0.5543154732654236,0.6191342077256518,0.5388281685066082
0.28,0.13,0.0,0.0,1.0,1.0,0.7186604055430144,0.6905878778985411,0.5979144673709449,0.5334733086972704,0.5545628672315482,0.6190397853482638,0.5334733086972704
0.28,0.13,0.0,0.35,1.0,1.6,0.7186604055430144,0.6906905199243865,0.5976633817317683,0.5333457152156831,0.554619738330579,0.6189959521490862,0.5333457152156831
0.28,0.24,0.0,0.35,0.6,0.6,0.7239532867888222,0.6870802926459944,0.5951968469336326,0.5367523102288717,0.5519126173013175,0.6189790707797277,0.5367523102288717
0.28,0.13,0.0,0.15,1.0,1.6,0.7183431121643978,0.6890037349749841,0.5959806353589046,0.536846811109238,0.5546615041641045,0.6189671595543258,0.536846811109238
0.28,0.24,0.15,0.15,1.0,0.6,0.7270841723117777,0.685419730385827,0.5962895292819708,0.5348294831485212,0.5507522943056988,0.6188750418867592,0.5348294831485212
0.28,0.13,0.0,0.0,0.6,1.0,0.7134456478347588,0.6948849612482167,0.5929770957480847,0.5374825795680255,0.5554686946917071,0.6188517958181585,0.5374825795680255
0.28,0.13,0.0,0.35,0.6,1.6,0.7134456478347588,0.6949167780903784,0.5946709941234002,0.5364649726734533,0.5547139670815863,0.6188424719607155,0.5364649726734533
0.28,0.24,0.35,0.35,1.0,1.0,0.7192194568932867,0.6873833157393919,0.5943542975766191,0.5411652767617569,0.5518279744451817,0.6187900642832472,0.5411652767617569
0.28,0.24,0.35,0.35,1.6,1.0,0.7282909878034284,0.6839996811991307,0.5961961132618498,0.5348540684891194,0.5501075003541757,0.6186896702215409,0.5348540684891194
0.28,0.13,0.0,0.15,1.0,1.0,0.7196728815415785,0.6903572548677256,0.5972697913950855,0.5318134033416745,0.5541965367368314,0.618661973576579,0.5318134033416745
0.28,0.24,0.35,0.0,1.6,0.6,0.7282849061881513,0.6846732999769928,0.5953329083063529,0.5347896109046372,0.5501735410388052,0.6186508532829879,0.5347896109046372
0.28,0.13,0.0,0.0,1.0,1.6,0.7187335684442896,0.6890267677706845,0.5945036011621561,0.53781034530687,0.5530036492448812,0.6186155863857763,0.53781034530687
0.28,0.13,0.0,0.15,0.6,1.0,0.7134058279852504,0.6938476748895713,0.59523320573816,0.536039559124737,0.5545419662915712,0.618613646805858,0.536039559124737
0.28,0.24,0.35,0.0,1.0,0.6,0.7191533134943979,0.6867635778293611,0.5939179520221098,0.5416363897068708,0.5515265835597206,0.6185995633224921,0.5416363897068708
0.28,0.13,0.15,0.0,1.0,1.6,0.7128383503600048,0.6970139070299413,0.592831938505546,0.5396014159056413,0.5506157668140622,0.6185802757230391,0.5396014159056413
0.28,0.24,0.15,0.15,0.6,0.6,0.7169677434327705,0.689027665440605,0.5930334921356784,0.5422760583188827,0.5506599020826503,0.6183929722821173,0.5422760583188827
